"SS00637","GMR_SS00637-20130124_31_D4"
"SS00601","GMR_SS00601-20130123_33_B1"
"L18","GMR_10G01_AV_01-20150619_32_A1"
"L18","GMR_10G01_AV_01-20150619_32_A2"
"L18","GMR_10G01_AV_01-20150619_32_A3"
"L62","GMR_14B11_XD_01-20150626_32_A1"
"L62","GMR_14B11_XD_01-20150626_32_A3"
"L62","GMR_14B11_XD_01-20150626_32_A4"
"L62","GMR_14B11_XD_01-20150626_32_A5"
"L61","GMR_14B11_XD_01-20150626_32_B1"
"L61","GMR_14B11_XD_01-20150626_32_B2"
"L61","GMR_14B11_XD_01-20150626_32_B3"
"L85","GMR_16H04_AV_01-20150619_32_B1"
"L85","GMR_16H04_AV_01-20150619_32_B2"
"L85","GMR_16H04_AV_01-20150619_32_B3"
"L86","GMR_16H04_AV_01-20150619_32_C1"
"L86","GMR_16H04_AV_01-20150619_32_C2"
"L86","GMR_16H04_AV_01-20150619_32_C3"
"L90","GMR_17B08_AV_01-20150619_32_D2"
"L90","GMR_17B08_AV_01-20150619_32_D3"
"L90","GMR_17B08_AV_01-20150619_32_D4"
"L90","GMR_17B08_AV_01-20150619_32_D5"
"L108","GMR_20A03_AV_01-20150619_32_E1"
"L108","GMR_20A03_AV_01-20150619_32_E2"
"L108","GMR_20A03_AV_01-20150619_32_E3"
"L135","GMR_21D06_AV_01-20150619_32_F1"
"L135","GMR_21D06_AV_01-20150619_32_F2"
"L135","GMR_21D06_AV_01-20150619_32_F3"
"L141","GMR_22A12_AV_01-20150626_32_J1"
"L141","GMR_22A12_AV_01-20150626_32_J2"
"L141","GMR_22A12_AV_01-20150626_32_J3"
"L141","GMR_22A12_AV_01-20150626_32_J4"
"L141","GMR_22A12_AV_01-20150626_32_J5"
"L163","GMR_25B07_AV_01-20150626_32_C1"
"L163","GMR_25B07_AV_01-20150626_32_C2"
"L163","GMR_25B07_AV_01-20150626_32_C3"
"L163","GMR_25B07_AV_01-20150626_32_C4"
"L163","GMR_25B07_AV_01-20150626_32_C5"
"L166","GMR_25B07_AV_01-20150706_31_D2"
"L166","GMR_25B07_AV_01-20150706_31_D5"
"L168","GMR_25B07_AV_01-20150706_31_F1"
"L168","GMR_25B07_AV_01-20150706_31_F5"
"L168","GMR_25B07_AV_01-20150706_31_F6"
"L180","GMR_30E03_XD_01-20150706_31_B4"
"L180","GMR_30E03_XD_01-20150706_31_B5"
"L180","GMR_30E03_XD_01-20150706_31_B6"
"L234","GMR_34E07_AV_01-20150626_32_G1"
"L234","GMR_34E07_AV_01-20150626_32_G2"
"L234","GMR_34E07_AV_01-20150626_32_G3"
"L234","GMR_34E07_AV_01-20150626_32_G4"
"L234","GMR_34E07_AV_01-20150626_32_G6"
"L240","GMR_34G01_XD_01-20150626_32_F1"
"L240","GMR_34G01_XD_01-20150626_32_F2"
"L240","GMR_34G01_XD_01-20150626_32_F3"
"L240","GMR_34G01_XD_01-20150626_32_F4"
"L240","GMR_34G01_XD_01-20150626_32_F5"
"L240","GMR_34G01_XD_01-20150626_32_F6"
"L279","GMR_41H09_AV_01-20150626_32_D1"
"L272","GMR_41H09_AV_01-20150626_32_E1"
"L272","GMR_41H09_AV_01-20150626_32_E2"
"L272","GMR_41H09_AV_01-20150626_32_E3"
"L314","GMR_47B03_AV_01-20150619_32_G1"
"L314","GMR_47B03_AV_01-20150619_32_G2"
"L314","GMR_47B03_AV_01-20150619_32_G3"
"L320","GMR_47B03_AV_01-20150619_32_H1"
"L320","GMR_47B03_AV_01-20150619_32_H2"
"L320","GMR_47B03_AV_01-20150619_32_H3"
"L325","GMR_47B03_AV_01-20150626_32_I1"
"L325","GMR_47B03_AV_01-20150626_32_I2"
"L325","GMR_47B03_AV_01-20150626_32_I3"
"L325","GMR_47B03_AV_01-20150626_32_I4"
"L325","GMR_47B03_AV_01-20150626_32_I5"
"L378","GMR_53B06_AV_01-20150619_32_I1"
"L378","GMR_53B06_AV_01-20150619_32_I2"
"L378","GMR_53B06_AV_01-20150619_32_I3"
"L383","GMR_53C02_AV_01-20150626_32_H3"
"L383","GMR_53C02_AV_01-20150626_32_H4"
"MB072C","GMR_MB072C-20150814_31_D2"
"MB072C","GMR_MB072C-20150814_31_D3"
"MB072C","GMR_MB072C-20150814_31_D4"
"MB072C","GMR_MB072C-20150814_31_D5"
"MB072C","GMR_MB072C-20150814_31_D7"
"MB295B","GMR_MB295B-20150814_31_A2"
"MB295B","GMR_MB295B-20150814_31_A3"
"MB295B","GMR_MB295B-20150814_31_A4"
"MB295B","GMR_MB295B-20150814_31_A5"
"MB295B","GMR_MB295B-20150814_31_A8"
"MB380B","GMR_MB380B-20150814_31_B6"
"MB390B","GMR_MB390B-20150814_31_C2"
"MB390B","GMR_MB390B-20150814_31_C4"
"MB583B","GMR_MB583B-20150828_31_A1"
"MB583B","GMR_MB583B-20150828_31_A2"
"MB583B","GMR_MB583B-20150828_31_A6"
"SS00502","GMR_SS00502-20150814_31_I1"
"SS00502","GMR_SS00502-20150814_31_I4"
"SS00502","GMR_SS00502-20150814_31_I6"
"SS00502","GMR_SS00502-20150814_31_I7"
"SS00502","GMR_SS00502-20150814_31_I8"
"SS00504","GMR_SS00504-20150814_31_J1"
"SS00504","GMR_SS00504-20150814_31_J6"
"SS00504","GMR_SS00504-20150814_31_J7"
"SS00581","GMR_SS00581-20150814_31_E1"
"SS00581","GMR_SS00581-20150814_31_E3"
"SS00581","GMR_SS00581-20150814_31_E4"
"SS00581","GMR_SS00581-20150814_31_E5"
"SS00581","GMR_SS00581-20150814_31_E6"
"SS00581","GMR_SS00581-20150814_31_E7"
"SS01262","GMR_SS01262-20150814_31_H2"
"SS01262","GMR_SS01262-20150814_31_H3"
"SS01262","GMR_SS01262-20150814_31_H4"
"SS01262","GMR_SS01262-20150814_31_H5"
"SS01262","GMR_SS01262-20150814_31_H6"
"SS01262","GMR_SS01262-20150814_31_H7"
"SS01331","GMR_SS01331-20150814_31_G1"
"SS01331","GMR_SS01331-20150814_31_G2"
"SS01331","GMR_SS01331-20150814_31_G4"
"SS01331","GMR_SS01331-20150814_31_G5"
"SS01331","GMR_SS01331-20150814_31_G6"
"SS01371","GMR_SS01371-20150814_31_F1"
"SS01371","GMR_SS01371-20150814_31_F4"
"SS01371","GMR_SS01371-20150814_31_F5"
"SS01371","GMR_SS01371-20150814_31_F6"
"L1543","JRC_SS03799-20151014_32_F4"
"L1543","JRC_SS03799-20151014_32_F6"
"L578","JRC_SS03776-20151014_32_E1"
"L578","JRC_SS03776-20151014_32_E4"
"L578","JRC_SS03776-20151014_32_E7"
"L578","JRC_SS03776-20151014_32_E8"
"MB077B","GMR_MB077B-20151014_33_B1"
"MB077B","GMR_MB077B-20151014_33_B2"
"MB077B","GMR_MB077B-20151014_33_B3"
"MB295B","GMR_MB295B-20151014_33_C1"
"MB295B","GMR_MB295B-20151014_33_C2"
"MB295B","GMR_MB295B-20151014_33_C5"
"MB380B","GMR_MB380B-20151014_33_D1"
"MB380B","GMR_MB380B-20151014_33_D3"
"MB380B","GMR_MB380B-20151014_33_D4"
"MB380B","GMR_MB380B-20151014_33_D6"
"SS00504","GMR_SS00502-20151014_32_A1"
"SS00504","GMR_SS00502-20151014_32_A3"
"SS00504","GMR_SS00502-20151014_32_A7"
"SS01217","GMR_SS01217-20151014_33_E1"
"SS01217","GMR_SS01217-20151014_33_E2"
"SS01217","GMR_SS01217-20151014_33_E3"
"L433","JRC_SS03232-20151007_31_J1"
"L433","JRC_SS03232-20151007_31_J2"
"L433","JRC_SS03232-20151007_31_J4"
"L528","JRC_SS03237-20151014_32_B1"
"L528","JRC_SS03237-20151014_32_B3"
"L528","JRC_SS03237-20151014_32_B6"
"L544","JRC_SS03238-20151007_31_I1"
"L544","JRC_SS03238-20151007_31_I3"
"L544","JRC_SS03238-20151007_31_I4"
"L605","JRC_SS03771-20151014_32_C1"
"L605","JRC_SS03771-20151014_32_C2"
"L605","JRC_SS03771-20151014_32_C3"
"L578","JRC_SS03776-20151014_32_E2"
"L578","JRC_SS03776-20151014_32_E3"
"L578","JRC_SS03776-20151014_32_E5"
"L578","JRC_SS03776-20151014_32_E6"
"L509","JRC_SS03783-20151231_33_A1"
"L509","JRC_SS03783-20151231_33_A2"
"L509","JRC_SS03783-20151231_33_A3"
"L509","JRC_SS03783-20151231_33_A4"
"L509","JRC_SS03783-20151231_33_A5"
"L719","JRC_SS03789-20151014_32_D1"
"L719","JRC_SS03789-20151014_32_D2"
"L719","JRC_SS03789-20151014_32_D3"
"L719","JRC_SS03789-20151014_32_D4"
"L719","JRC_SS03789-20151014_32_D5"
"L719","JRC_SS03789-20151014_32_D6"
"L719","JRC_SS03789-20151014_32_D7"
"L719","JRC_SS03789-20151014_32_D8"
"L1543","JRC_SS03799-20151014_32_F1"
"L1543","JRC_SS03799-20151014_32_F3"
"L1570","JRC_SS03800-20151111_32_E4"
"L1570","JRC_SS03800-20151111_32_E5"
"L1518","JRC_SS03801-20151111_32_F1"
"L1518","JRC_SS03801-20151111_32_F2"
"L1518","JRC_SS03801-20151111_32_F3"
"L1518","JRC_SS03801-20151111_32_F4"
"L1518","JRC_SS03801-20151111_32_F5"
"L416","JRC_SS04016-20151007_31_G2"
"L416","JRC_SS04016-20151007_31_G3"
"L416","JRC_SS04016-20151007_31_G4"
"L420","JRC_SS04028-20151007_31_H1"
"L420","JRC_SS04028-20151007_31_H2"
"L420","JRC_SS04028-20151007_31_H4"
"L1296","JRC_SS04718-20151231_33_F1"
"L1296","JRC_SS04718-20151231_33_F2"
"L1296","JRC_SS04718-20151231_33_F3"
"L1296","JRC_SS04718-20151231_33_F4"
"L1296","JRC_SS04718-20151231_33_F5"
"L1297","JRC_SS04719-20151231_33_E1"
"L1297","JRC_SS04719-20151231_33_E2"
"L1297","JRC_SS04719-20151231_33_E3"
"L1297","JRC_SS04719-20151231_33_E4"
"L1297","JRC_SS04719-20151231_33_E5"
"L849","JRC_SS04948-20150828_31_F1"
"L849","JRC_SS04948-20150828_31_F3"
"L849","JRC_SS04948-20150828_31_F7"
"L509","JRC_SS04949-20150828_31_J2"
"L509","JRC_SS04949-20150828_31_J3"
"L509","JRC_SS04949-20150828_31_J4"
"L1129","JRC_SS04950-20150929_33_F1"
"L123","JRC_SS04951-20150929_33_B1"
"L123","JRC_SS04951-20150929_33_B2"
"L123","JRC_SS04951-20150929_33_B3"
"L173","JRC_SS04952-20150821_31_D4"
"L173","JRC_SS04952-20150821_31_D5"
"L173","JRC_SS04952-20150821_31_D6"
"L173","JRC_SS04952-20150821_31_D7"
"L173","JRC_SS04952-20150821_31_D8"
"L1302","JRC_SS04953-20150929_33_D1"
"L1302","JRC_SS04953-20150929_33_D3"
"L1302","JRC_SS04953-20150929_33_D6"
"L307","JRC_SS04954-20150821_31_A1"
"L258","JRC_SS04955-20150821_31_B1"
"L258","JRC_SS04955-20150821_31_B5"
"L258","JRC_SS04955-20150821_31_B7"
"L258","JRC_SS04955-20150821_31_B8"
"L989","JRC_SS04956-20150828_31_D1"
"L989","JRC_SS04956-20150828_31_D2"
"L989","JRC_SS04956-20150828_31_D3"
"L1197","JRC_SS04957-20150828_31_E1"
