"L3","GMR_10B09_AV_01-20141114_44_C2","10G01","10B09","113","1","No","Yes_TI_wk10","Yes-TI_flycore_18Apr-30May16","No","Medium"
"L15","GMR_10G01_AV_01-20141114_44_B2","49F02","10G01","27","1","Maybe","Yes_TI_wk16","Yes-TI_wk15-16 (flycore)","Yes","Weak"
"L16","GMR_10G01_AV_01-20141114_44_F1","67F03","10G01","113","1","20X_PaavoMike_July_2016","Yes_TI_wk16","Yes_TI_wk27","Yes","Weak"
"L18","GMR_10G01_AV_01-20141114_44_G1","84F07","10G01","27, 4C","1","Yes","","Case4_Wk2","Yes","Medium"
"L17","GMR_10G01_AV_01-20141114_44_I2","79C09","10G01","27","2","Yes","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Yes","Medium"
"L19","GMR_11B07_AV_01-20141114_44_H1","13C04","11B07","8A","1","Yes","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Yes","Strong"
"L20","GMR_11B07_AV_01-20141114_44_J1","14B11","11B07","8A","1","Yes","Yes_TI_wk2","Yes-TI_wk2","No","Strong"
"L24","GMR_11B07_AV_01-20141212_42_A2","65H10","11B07","8A","1","Yes","","Yes_TI_wk27","Yes","Don't Care"
"L28 ","GMR_12E09_AV_01-20141212_42_A4","31D07","12E09","3A","1","Yes","","","Yes","Don't Care"
"L39","GMR_13C04_AV_01-20141212_42_B1","11B07","13C04","8A","1","Yes","","","Yes","Medium"
"L40","GMR_13C04_AV_01-20141212_42_B4","43D01","13C04","8A","1","","","","No","Needimage"
"L62","GMR_14B11_XD_01-20141212_42_C1","16C09","14B11","1D,1E","3","20X Shiuan-Tze 2015","Yes_TI_wk9","Case4_Wk5","Yes","Weak"
"L61","GMR_14B11_XD_01-20141219_42_A4","14E05","14B11","7","2","Yes","Yes_TI_wk9"," ","Yes","Needimage"
"L85","GMR_16H04_AV_01-20141212_41_F5","50H07","16H04","89","1","Maybe","Yes_TI-wk20","Yes-TI_flycore_18Apr-30May16","Yes","Medium"
"L86","GMR_16H04_AV_01-20141212_41_G1","94D12","16H04","89","1","20X Paavo 2015","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Yes","Weak"
